amenity,count,replace_value
Washer Dryer In Unit,2,
Corner Unit,2,
Communal Courtyard,2,
Common RoofDeck,2,
private roof,2,
Common Garden,2,
Common Backyard,2,
 Laundry in Building,2,Laundry In Building
Two Story Lobby,2,
"Park View
 
Renovated",2,
Rooftop 24/7,2,
FIOS,2,
Two Blocks from L train at Morgan Ave,2,
Rooftop Garden,2,
FIOS Internet,2,
Hardwood Floors Natural Light in Living Area Washer dryer installed Laundry in building Bike storage Storage Space Gym Lounge Common courtyard Stainless Steel Appliances Dishwasher Built in microwave Stone countertops,2,"Hardwood Floors, Laundry In Unit, Bike Storage, Storage Space, Gym, Lounge, Common Courtyard, Stainless Steel Appliances, Dishwasher, Built In Microwave, Stone Countertops"
One block from Park,2,
Two blocks from L Train,2,
Cafe In Building,2,
Gas andhot water included,2,
Roof Access,2,
pets allowed,2,
Natural Light,2,
No amenity fees,2,
Building: Fitness Center,2,
Assigned Parking,2,
M,2,
Garden Patio,2,
Tennis,2,
Cable Satellite Tv,2,
Southern Exposure,2,
laundry building,2,Laundry In Building
heat hot water included,2,
Decorative Fireplace,2,
"Microwave
 
Renovated",2,
convertible,2,
Common Courtyard,2,
Roof deck,2,
washer/Dryer,2,
Elevator building,2,Elevator
Common Basement Lounge Area With Wifi Throughout,2,
Outdoor Spaces,2,
Luxury Building,2,
Franklin Avenue Shuttle,2,
One Bedroom,2,
A Train,2,
New Appliances,2,
2 Train,2,
Crown Heights,2,
New Cabinets,2,
Large Closet,2,
5 Train,2,
4 Train,2,
3 Train,2,
C Train,2,
Dog Wash Room,2,
Screening Room,2,
Washer/dryer hook ups,2,
 Receiving Room,2,
Sick Duplex,2,
Super live in,2,
close to forest park,2,
AC,2,
tall ceilings,2,
Floor to ceiling windows,2,
discount on amenities,2,
Free Hello Alfred weekly,2,
 Dining Room,2,
No Pets Allowed,2,
Washer/Dryer Hook up,2,
oversized,2,
renovated common area,2,
"Light
 
Live In Super",2,
"Lounge,",2,
Gameroom,2,
24-hour Valet Parking,2,
Children's Playground,2,
Wood Floors,2,
GE Stainless Steel Appliances,2,
Juliette Balcony,2,
Duplex - Central Heat - Central AC - Dishwasher,2,
EAST VILLAGE,2,
Washer/dryer hookup,2,
Lots of closet space,2,
